source	condition	experiment	model	filler_type	mean	std	median	rank
hg-2023	affected	article-masking	BETO	dom	0.0012	0.0019	0.0004	38.0
hg-2023	affected	article-masking	BETO	def	0.113	0.2021	0.0216	5.75
hg-2023	affected	article-masking	BETO	indef	0.2304	0.2567	0.1969	0.75
hg-2023	nonaffected	article-masking	BETO	dom	0.0005	0.0007	0.0003	84.75
hg-2023	nonaffected	article-masking	BETO	def	0.2799	0.3362	0.042	5.5625
hg-2023	nonaffected	article-masking	BETO	indef	0.1986	0.1973	0.1274	1.5625
ms-2013	animate	article-masking	BETO	dom	0.0002	0.0003	0.0	59.0
ms-2013	animate	article-masking	BETO	def	0.3824	0.3169	0.3604	3.2857
ms-2013	animate	article-masking	BETO	indef	0.2392	0.2875	0.0705	4.7143
ms-2013	inanimate	article-masking	BETO	dom	0.0002	0.0002	0.0001	252.3333
ms-2013	inanimate	article-masking	BETO	def	0.4767	0.2951	0.6453	2.6667
ms-2013	inanimate	article-masking	BETO	indef	0.1224	0.1029	0.109	23.3333
re-2021	indefinite	article-masking	BETO	dom	0.0005	0.0005	0.0002	71.625
re-2021	indefinite	article-masking	BETO	def	0.0487	0.084	0.0147	4.25
re-2021	indefinite	article-masking	BETO	indef	0.5436	0.249	0.6419	0.625
sa-2020	animate-human	article-masking	BETO	dom	0.0001	0.0003	0.0	195.5385
sa-2020	animate-human	article-masking	BETO	def	0.7253	0.1979	0.7239	0.1538
sa-2020	animate-human	article-masking	BETO	indef	0.0086	0.022	0.001	12.9231
sa-2020	animate-animal	article-masking	BETO	dom	0.0004	0.0014	0.0	105.7143
sa-2020	animate-animal	article-masking	BETO	def	0.8112	0.2288	0.8828	0.3571
sa-2020	animate-animal	article-masking	BETO	indef	0.0395	0.0805	0.0018	6.1429
re-2021-modified	definite	article-masking	BETO	dom	0.0001	0.0001	0.0	50.125
re-2021-modified	definite	article-masking	BETO	def	0.404	0.3154	0.3493	0.625
re-2021-modified	definite	article-masking	BETO	indef	0.2039	0.2707	0.0949	1.625
re-2021-modified	indefinite	article-masking	BETO	dom	0.0001	0.0003	0.0	204.5
re-2021-modified	indefinite	article-masking	BETO	def	0.3402	0.2234	0.3651	1.0
re-2021-modified	indefinite	article-masking	BETO	indef	0.3069	0.1901	0.3268	1.0
