source	condition	experiment	model	filler_type	mean	std	median	rank
ms-2013	animate	article-masking	BETO	dom	0.1838	0.2621	0.0774	3.5714
ms-2013	animate	article-masking	BETO	def	0.1523	0.1947	0.0507	3.5714
ms-2013	animate	article-masking	BETO	indef	0.2476	0.3152	0.0989	10.0
ms-2013	inanimate	article-masking	BETO	dom	0.0104	0.0339	0.0005	21.3077
ms-2013	inanimate	article-masking	BETO	def	0.4918	0.2661	0.4338	0.3846
ms-2013	inanimate	article-masking	BETO	indef	0.247	0.2544	0.1354	2.3846
sa-2020	human	article-masking	BETO	dom	0.0975	0.215	0.0143	4.6923
sa-2020	human	article-masking	BETO	def	0.6055	0.2344	0.6495	0.0769
sa-2020	human	article-masking	BETO	indef	0.0028	0.0043	0.0014	24.0769
sa-2020	animal	article-masking	BETO	dom	0.1322	0.2373	0.0167	3.7143
sa-2020	animal	article-masking	BETO	def	0.6245	0.2055	0.6305	0.1429
sa-2020	animal	article-masking	BETO	indef	0.0149	0.0275	0.0011	15.4286
re-2021	indefinite	article-masking	BETO	dom	0.6148	0.2496	0.6111	0.5
re-2021	indefinite	article-masking	BETO	def	0.0552	0.0589	0.0255	3.0
re-2021	indefinite	article-masking	BETO	indef	0.143	0.1572	0.0725	2.25
re-2021-modified	definite	article-masking	BETO	dom	0.2165	0.2821	0.0528	2.75
re-2021-modified	definite	article-masking	BETO	def	0.1766	0.1982	0.1236	1.875
re-2021-modified	definite	article-masking	BETO	indef	0.2908	0.3255	0.109	3.125
re-2021-modified	indefinite	article-masking	BETO	dom	0.1656	0.2661	0.0506	2.625
re-2021-modified	indefinite	article-masking	BETO	def	0.2086	0.2616	0.0976	1.75
re-2021-modified	indefinite	article-masking	BETO	indef	0.3504	0.2982	0.3182	1.375
hg-2023	affected	article-masking	BETO	dom	0.6857	0.3046	0.8006	0.375
hg-2023	affected	article-masking	BETO	def	0.0831	0.1821	0.0226	1.5
hg-2023	affected	article-masking	BETO	indef	0.0352	0.0668	0.0086	3.0
hg-2023	non-affected	article-masking	BETO	dom	0.5785	0.3351	0.6911	1.0
hg-2023	non-affected	article-masking	BETO	def	0.1074	0.1173	0.071	2.0
hg-2023	non-affected	article-masking	BETO	indef	0.0983	0.1334	0.02	3.8125
