source	condition	experiment	model	filler_type	mean	std	median	rank
ms-2013	animate	article-masking	mBERT	dom	0.001	0.0011	0.0005	24.5714
ms-2013	animate	article-masking	mBERT	def	0.3771	0.3007	0.253	1.7143
ms-2013	animate	article-masking	mBERT	indef	0.3218	0.2815	0.1919	7.4286
ms-2013	inanimate	article-masking	mBERT	dom	0.0171	0.0324	0.004	20.2308
ms-2013	inanimate	article-masking	mBERT	def	0.4988	0.3583	0.596	1.8462
ms-2013	inanimate	article-masking	mBERT	indef	0.127	0.1673	0.0343	12.6923
sa-2020	human	article-masking	mBERT	dom	0.0056	0.0188	0.0001	32.6923
sa-2020	human	article-masking	mBERT	def	0.8457	0.2224	0.9516	0.0769
sa-2020	human	article-masking	mBERT	indef	0.0562	0.1482	0.0015	5.8462
sa-2020	animal	article-masking	mBERT	dom	0.0014	0.0043	0.0001	32.3571
sa-2020	animal	article-masking	mBERT	def	0.8486	0.203	0.9218	0.0714
sa-2020	animal	article-masking	mBERT	indef	0.0427	0.1051	0.0009	7.4286
re-2021	indefinite	article-masking	mBERT	dom	0.0068	0.006	0.0059	18.0
re-2021	indefinite	article-masking	mBERT	def	0.1214	0.1995	0.0465	3.25
re-2021	indefinite	article-masking	mBERT	indef	0.5832	0.2856	0.6261	0.25
re-2021-modified	definite	article-masking	mBERT	dom	0.0029	0.0057	0.0005	12.0
re-2021-modified	definite	article-masking	mBERT	def	0.4773	0.2914	0.419	0.375
re-2021-modified	definite	article-masking	mBERT	indef	0.217	0.1773	0.1619	1.0
re-2021-modified	indefinite	article-masking	mBERT	dom	0.0013	0.0013	0.0009	17.125
re-2021-modified	indefinite	article-masking	mBERT	def	0.6175	0.1629	0.5885	0.125
re-2021-modified	indefinite	article-masking	mBERT	indef	0.1635	0.1061	0.1611	1.25
hg-2023	affected	article-masking	mBERT	dom	0.0127	0.0127	0.0052	7.5625
hg-2023	affected	article-masking	mBERT	def	0.1742	0.2141	0.1027	1.125
hg-2023	affected	article-masking	mBERT	indef	0.2301	0.2216	0.1752	1.0
hg-2023	non-affected	article-masking	mBERT	dom	0.0087	0.0217	0.0018	26.1875
hg-2023	non-affected	article-masking	mBERT	def	0.3358	0.3419	0.1775	23.25
hg-2023	non-affected	article-masking	mBERT	indef	0.1604	0.2186	0.1017	2.375
