source	condition	experiment	model	filler_type	mean	std	median	rank
ms-2013	animate	article-masking	mBERT	dom	0.0993	0.1099	0.0626	5.2857
ms-2013	animate	article-masking	mBERT	def	0.2211	0.2259	0.1169	1.7143
ms-2013	animate	article-masking	mBERT	indef	0.2421	0.2436	0.1649	9.8571
ms-2013	inanimate	article-masking	mBERT	dom	0.0495	0.0647	0.0235	4.0769
ms-2013	inanimate	article-masking	mBERT	def	0.4544	0.2879	0.3351	4.2308
ms-2013	inanimate	article-masking	mBERT	indef	0.1331	0.1626	0.0743	24.3846
sa-2020	human	article-masking	mBERT	dom	0.1314	0.2374	0.0656	2.7692
sa-2020	human	article-masking	mBERT	def	0.7062	0.269	0.8179	0.0769
sa-2020	human	article-masking	mBERT	indef	0.0113	0.0184	0.0025	13.3077
sa-2020	animal	article-masking	mBERT	dom	0.0334	0.0404	0.0182	3.7143
sa-2020	animal	article-masking	mBERT	def	0.7941	0.1187	0.8172	0.0
sa-2020	animal	article-masking	mBERT	indef	0.0302	0.0412	0.0028	9.4286
re-2021	indefinite	article-masking	mBERT	dom	0.3522	0.2636	0.3411	2.75
re-2021	indefinite	article-masking	mBERT	def	0.1735	0.1752	0.0973	1.875
re-2021	indefinite	article-masking	mBERT	indef	0.1446	0.1197	0.1161	2.625
re-2021-modified	definite	article-masking	mBERT	dom	0.056	0.0524	0.0274	2.625
re-2021-modified	definite	article-masking	mBERT	def	0.351	0.3047	0.1699	0.75
re-2021-modified	definite	article-masking	mBERT	indef	0.2204	0.2239	0.102	2.125
re-2021-modified	indefinite	article-masking	mBERT	dom	0.1397	0.1799	0.0409	2.625
re-2021-modified	indefinite	article-masking	mBERT	def	0.3473	0.1977	0.3988	0.875
re-2021-modified	indefinite	article-masking	mBERT	indef	0.1604	0.1371	0.0798	2.125
hg-2023	affected	article-masking	mBERT	dom	0.4813	0.3125	0.5416	0.625
hg-2023	affected	article-masking	mBERT	def	0.3217	0.2966	0.199	0.875
hg-2023	affected	article-masking	mBERT	indef	0.0195	0.0184	0.0128	4.1875
hg-2023	non-affected	article-masking	mBERT	dom	0.2336	0.2848	0.1248	5.9375
hg-2023	non-affected	article-masking	mBERT	def	0.2684	0.2653	0.169	1.625
hg-2023	non-affected	article-masking	mBERT	indef	0.0831	0.0835	0.0724	2.9375
