input	condition	experiment_type	model	filler_type	mean	median	std	mean_rank
hg-2023	affected	dobject-masking	mBERT	dom	0.0127	0.0127	0.0052	7.5625
hg-2023	affected	dobject-masking	mBERT	def	0.1742	0.2141	0.1027	1.125
hg-2023	affected	dobject-masking	mBERT	indef	0.2301	0.2216	0.1752	1.0
hg-2023	nonaffected	dobject-masking	mBERT	dom	0.0087	0.0217	0.0018	26.1875
hg-2023	nonaffected	dobject-masking	mBERT	def	0.3358	0.3419	0.1775	23.25
hg-2023	nonaffected	dobject-masking	mBERT	indef	0.1604	0.2186	0.1017	2.375
ms-2013	animate	dobject-masking	mBERT	dom	0.0013	0.0013	0.0008	22.625
ms-2013	animate	dobject-masking	mBERT	def	0.3931	0.2844	0.3789	1.5
ms-2013	animate	dobject-masking	mBERT	indef	0.2841	0.2816	0.1843	6.875
ms-2013	inanimate	dobject-masking	mBERT	dom	0.0123	0.0246	0.004	26.16
ms-2013	inanimate	dobject-masking	mBERT	def	0.2607	0.358	0.0109	57.0
ms-2013	inanimate	dobject-masking	mBERT	indef	0.0665	0.1361	0.0013	100.96
re-2021	indefinite	dobject-masking	mBERT	dom	0.0068	0.006	0.0059	18.0
re-2021	indefinite	dobject-masking	mBERT	def	0.1214	0.1995	0.0465	3.25
re-2021	indefinite	dobject-masking	mBERT	indef	0.5832	0.2856	0.6261	0.25
sa-2020	animate-animal	dobject-masking	mBERT	dom	0.0014	0.0043	0.0001	32.3571
sa-2020	animate-animal	dobject-masking	mBERT	def	0.8486	0.203	0.9218	0.0714
sa-2020	animate-animal	dobject-masking	mBERT	indef	0.0427	0.1051	0.0009	7.4286
sa-2020	animate-human	dobject-masking	mBERT	dom	0.0056	0.0188	0.0001	32.6923
sa-2020	animate-human	dobject-masking	mBERT	def	0.8457	0.2224	0.9516	0.0769
sa-2020	animate-human	dobject-masking	mBERT	indef	0.0562	0.1482	0.0015	5.8462
re-2021-modified	definite	dobject-masking	mBERT	dom	0.0029	0.0057	0.0005	12.0
re-2021-modified	definite	dobject-masking	mBERT	def	0.4773	0.2914	0.419	0.375
re-2021-modified	definite	dobject-masking	mBERT	indef	0.217	0.1773	0.1619	1.0
re-2021-modified	indefinite	dobject-masking	mBERT	dom	0.0013	0.0013	0.0009	17.125
re-2021-modified	indefinite	dobject-masking	mBERT	def	0.6175	0.1629	0.5885	0.125
re-2021-modified	indefinite	dobject-masking	mBERT	indef	0.1635	0.1061	0.1611	1.25
