input	condition	experiment_type	model	filler_type	mean	median	std	mean_rank
hg-2023	affected	dobject-masking	BETO	dom	0.6857	0.3046	0.8006	0.375
hg-2023	affected	dobject-masking	BETO	def	0.0831	0.1821	0.0226	1.5
hg-2023	affected	dobject-masking	BETO	indef	0.0352	0.0668	0.0086	3.0
hg-2023	nonaffected	dobject-masking	BETO	dom	0.5785	0.3351	0.6911	1.0
hg-2023	nonaffected	dobject-masking	BETO	def	0.1074	0.1173	0.071	2.0
hg-2023	nonaffected	dobject-masking	BETO	indef	0.0983	0.1334	0.02	3.8125
ms-2013	animate	dobject-masking	BETO	dom	0.1608	0.2525	0.0639	3.5
ms-2013	animate	dobject-masking	BETO	def	0.1332	0.189	0.0418	6.75
ms-2013	animate	dobject-masking	BETO	indef	0.2167	0.306	0.0603	11.25
ms-2013	inanimate	dobject-masking	BETO	dom	0.0536	0.1632	0.0017	26.32
ms-2013	inanimate	dobject-masking	BETO	def	0.2581	0.3099	0.053	34.2
ms-2013	inanimate	dobject-masking	BETO	indef	0.1297	0.2204	0.0059	41.32
re-2021	indefinite	dobject-masking	BETO	dom	0.6148	0.2496	0.6111	0.5
re-2021	indefinite	dobject-masking	BETO	def	0.0552	0.0589	0.0255	3.0
re-2021	indefinite	dobject-masking	BETO	indef	0.143	0.1572	0.0725	2.25
sa-2020	animate-human	dobject-masking	BETO	dom	0.0975	0.215	0.0143	4.6923
sa-2020	animate-human	dobject-masking	BETO	def	0.6055	0.2344	0.6495	0.0769
sa-2020	animate-human	dobject-masking	BETO	indef	0.0028	0.0043	0.0014	24.0769
sa-2020	animate-animal	dobject-masking	BETO	dom	0.1322	0.2373	0.0167	3.7143
sa-2020	animate-animal	dobject-masking	BETO	def	0.6245	0.2055	0.6305	0.1429
sa-2020	animate-animal	dobject-masking	BETO	indef	0.0149	0.0275	0.0011	15.4286
re-2021-modified	definite	dobject-masking	BETO	dom	0.2165	0.2821	0.0528	2.75
re-2021-modified	definite	dobject-masking	BETO	def	0.1766	0.1982	0.1236	1.875
re-2021-modified	definite	dobject-masking	BETO	indef	0.2908	0.3255	0.109	3.125
re-2021-modified	indefinite	dobject-masking	BETO	dom	0.1656	0.2661	0.0506	2.625
re-2021-modified	indefinite	dobject-masking	BETO	def	0.2086	0.2616	0.0976	1.75
re-2021-modified	indefinite	dobject-masking	BETO	indef	0.3504	0.2982	0.3182	1.375
