input	condition	experiment_type	model	filler_type	mean	median	std	mean_rank
hg-2023	affected	dobject-masking	mBERT	dom	0.4813	0.3125	0.5416	0.625
hg-2023	affected	dobject-masking	mBERT	def	0.3217	0.2966	0.199	0.875
hg-2023	affected	dobject-masking	mBERT	indef	0.0195	0.0184	0.0128	4.1875
hg-2023	nonaffected	dobject-masking	mBERT	dom	0.2336	0.2848	0.1248	5.9375
hg-2023	nonaffected	dobject-masking	mBERT	def	0.2684	0.2653	0.169	1.625
hg-2023	nonaffected	dobject-masking	mBERT	indef	0.0831	0.0835	0.0724	2.9375
ms-2013	animate	dobject-masking	mBERT	dom	0.1315	0.1336	0.0802	4.75
ms-2013	animate	dobject-masking	mBERT	def	0.203	0.2166	0.0966	1.75
ms-2013	animate	dobject-masking	mBERT	indef	0.2121	0.2414	0.1417	10.625
ms-2013	inanimate	dobject-masking	mBERT	dom	0.035	0.0498	0.0193	25.04
ms-2013	inanimate	dobject-masking	mBERT	def	0.2402	0.3047	0.0206	68.8
ms-2013	inanimate	dobject-masking	mBERT	indef	0.0703	0.1343	0.0052	140.8
re-2021	indefinite	dobject-masking	mBERT	dom	0.3522	0.2636	0.3411	2.75
re-2021	indefinite	dobject-masking	mBERT	def	0.1735	0.1752	0.0973	1.875
re-2021	indefinite	dobject-masking	mBERT	indef	0.1446	0.1197	0.1161	2.625
sa-2020	animate-human	dobject-masking	mBERT	dom	0.1314	0.2374	0.0656	2.7692
sa-2020	animate-human	dobject-masking	mBERT	def	0.7062	0.269	0.8179	0.0769
sa-2020	animate-human	dobject-masking	mBERT	indef	0.0113	0.0184	0.0025	13.3077
sa-2020	animate-animal	dobject-masking	mBERT	dom	0.0334	0.0404	0.0182	3.7143
sa-2020	animate-animal	dobject-masking	mBERT	def	0.7941	0.1187	0.8172	0.0
sa-2020	animate-animal	dobject-masking	mBERT	indef	0.0302	0.0412	0.0028	9.4286
re-2021-modified	definite	dobject-masking	mBERT	dom	0.056	0.0524	0.0274	2.625
re-2021-modified	definite	dobject-masking	mBERT	def	0.351	0.3047	0.1699	0.75
re-2021-modified	definite	dobject-masking	mBERT	indef	0.2204	0.2239	0.102	2.125
re-2021-modified	indefinite	dobject-masking	mBERT	dom	0.1397	0.1799	0.0409	2.625
re-2021-modified	indefinite	dobject-masking	mBERT	def	0.3473	0.1977	0.3988	0.875
re-2021-modified	indefinite	dobject-masking	mBERT	indef	0.1604	0.1371	0.0798	2.125
