input	condition	experiment_type	model	filler_type	mean	median	std	mean_rank
hg-2023	affected	dom-masking	mBERT	dom	0.8637	0.2142	0.9324	0.125
hg-2023	nonaffected	dom-masking	mBERT	dom	0.6798	0.2553	0.7011	0.125
ms-2013	animate	dom-masking	mBERT	dom	0.5359	0.3527	0.6455	65.3571
ms-2013	inanimate	dom-masking	mBERT	dom	0.1655	0.1644	0.1148	4.0714
re-2021	definite	dom-masking	mBERT	dom	0.4372	0.3211	0.4489	2.125
re-2021	indefinite	dom-masking	mBERT	dom	0.6983	0.3023	0.8103	0.125
sa-2020	animate-human	dom-masking	mBERT	dom	0.7017	0.3091	0.8567	0.2222
sa-2020	animate-animal	dom-masking	mBERT	dom	0.4819	0.3414	0.3584	0.7222
re-2021-modified	definite	dom-masking	mBERT	dom	0.845	0.3082	0.9567	0.125
re-2021-modified	indefinite	dom-masking	mBERT	dom	0.7004	0.3914	0.892	0.25
