source	condition	BETO-mean	BETO-std	BETO-median	BETO-mean-rank	mBERT-mean	mBERT-std	mBERT-median	mBERT-mean-rank
hg-2023	affected	0.9658	0.0469	0.9883	0.0	0.8637	0.2142	0.9324	0.125
hg-2023	nonaffected	0.839	0.2599	0.9547	0.125	0.6798	0.2553	0.7011	0.125
ms-2013	animate	0.9181	0.1912	0.9882	0.0	0.5359	0.3527	0.6455	65.3571
ms-2013	inanimate	0.148	0.2696	0.0136	9.8214	0.1655	0.1644	0.1148	4.0714
re-2021	definite	0.7615	0.2424	0.8569	0.25	0.4372	0.3211	0.4488	2.125
re-2021	indefinite	0.8963	0.1542	0.9766	0.0	0.6983	0.3023	0.8103	0.125
sa-2020	animate-human	0.8076	0.2162	0.8732	0.0556	0.7017	0.3091	0.8567	0.2222
sa-2020	animate-animal	0.8395	0.1987	0.9241	0.0556	0.4819	0.3414	0.3584	0.7222
re-2021-modified	definite	0.9256	0.1205	0.9952	0.0	0.845	0.3082	0.9567	0.125
re-2021-modified	indefinite	0.8559	0.1771	0.9295	0.0	0.7004	0.3914	0.892	0.25
