source	condition	model	mean_score_dom	mean_score_unmarked	mean_disc	std_disc	median_disc
ms-2013	animate	mBERT	0.2727	0.1861	0.0866	0.0609	0.0997
ms-2013	inanimate	mBERT	0.2507	0.211	-0.0071	0.0668	-0.0192
sa-2020	human	mBERT	0.3888	0.3397	0.0491	0.055	0.0549
sa-2020	animal	mBERT	0.3743	0.3434	0.0128	0.0515	0.017
re-2021	definite	mBERT	0.3184	0.289	0.0294	0.0552	0.0109
re-2021	indefinite	mBERT	0.3189	0.2511	0.1064	0.0695	0.1072
re-2021-modified	definite	mBERT	0.3752	0.3007	0.0744	0.0267	0.0793
re-2021-modified	indefinite	mBERT	0.3281	0.2597	0.0624	0.0636	0.0633
hg-2023	affected	mBERT	0.3082	0.2159	0.0923	0.0271	0.0899
hg-2023	non-affected	mBERT	0.3075	0.2289	0.0649	0.0466	0.0675
