source	condition	BETO-mean_score_dom	BETO-mean_score_unmarked	BETO-mean_disc	BETO-std_disc	median_disc_x	mBERT-mean_score_dom	mBERT-mean_score_unmarked	mBERT-mean_disc	mBERT-std_disc	median_disc_y
hg-2023	affected	0.4103	0.3095	0.1008	0.0296	0.0956	0.3082	0.2159	0.0923	0.0271	0.0899
hg-2023	nonaffected	0.4048	0.3108	0.0873	0.0605	0.0969	0.3075	0.2289	0.0649	0.0466	0.0675
ms-2013	animate	0.4091	0.2401	0.169	0.0481	0.1712	0.2727	0.1861	0.0866	0.0609	0.0997
ms-2013	inanimate	0.3231	0.2717	-0.0663	0.0955	-0.0743	0.2507	0.211	-0.0071	0.0668	-0.0192
re-2021	definite	0.4071	0.3209	0.0862	0.0434	0.0873	0.3184	0.289	0.0294	0.0552	0.0109
re-2021	indefinite	0.4275	0.3013	0.1661	0.0898	0.1251	0.3189	0.2511	0.1064	0.0695	0.1072
sa-2020	animate-human	0.4323	0.3358	0.0965	0.0511	0.0928	0.3888	0.3397	0.0491	0.055	0.0549
sa-2020	animate-animal	0.424	0.3264	0.0988	0.0513	0.091	0.3743	0.3434	0.0128	0.0515	0.017
re-2021-modified	definite	0.4225	0.3282	0.0943	0.0301	0.0949	0.3752	0.3007	0.0744	0.0267	0.0793
re-2021-modified	indefinite	0.4189	0.3064	0.1306	0.1004	0.1133	0.3281	0.2597	0.0624	0.0636	0.0633
